date,store_id,product_id,quantity,unit_price
2025-12-22,00000000-0000-0000-0000-000000000099,prod-001,25,139.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-002,23,79.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-003,5,219.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-004,19,159.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-005,15,129.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-006,0,349.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-007,5,99.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-008,0,299.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-009,0,189.99
2025-12-22,00000000-0000-0000-0000-000000000099,prod-010,0,449.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-001,31,139.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-002,25,79.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-003,5,219.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-004,15,159.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-005,17,129.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-006,3,349.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-007,0,99.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-008,0,299.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-009,0,189.99
2025-12-23,00000000-0000-0000-0000-000000000099,prod-010,7,449.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-001,34,139.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-002,28,79.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-003,6,219.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-004,18,159.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-005,18,129.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-006,0,349.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-007,0,99.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-008,0,299.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-009,0,189.99
2025-12-24,00000000-0000-0000-0000-000000000099,prod-010,0,449.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-001,24,139.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-002,28,79.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-003,5,219.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-004,16,159.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-005,22,129.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-006,0,349.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-007,1,99.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-008,2,299.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-009,0,189.99
2025-12-25,00000000-0000-0000-0000-000000000099,prod-010,4,449.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-001,32,139.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-002,26,79.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-003,6,219.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-004,21,159.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-005,21,129.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-006,0,349.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-007,0,99.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-008,0,299.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-009,3,189.99
2025-12-26,00000000-0000-0000-0000-000000000099,prod-010,1,449.99
